ID,VCQ,Ontology,Template (Y/N),Source,Link
pizza_1,What pizzas have anchovy?,Pizza,N,"Sean Bechhofer, lecture slides",http://syllabus.cs.manchester.ac.uk/pgt/2018/COMP62342/slides/Week2-CQ.pdf they mention CQs for testing:
simc_1,What are the appropriate soils can maize irrigation be carried out?,SIMcOnto (maize crop),N,"Aminu, E.F., Oyefolahan, I.O., Abdullahi, M.B., Salaudeen, M.T. (2022). Modeling Competency Questions-Based Ontology for the Domain of Maize Crop: SIMcOnto. In: Mandal, J.K., Buyya, R., De, D. (eds) Proceedings of International Conference on Advanced Computing Applications. Advances in Intelligent Systems and Computing, vol 1406. Springer, Singapore. https://doi.org/10.1007/978-981-16-5207-3_61",
simc_2,Which soil is required for maize cultivation? / What is the best soil rec_x0002_ommended for maize?,SIMcOnto (maize crop),N,"Aminu, E.F., Oyefolahan, I.O., Abdullahi, M.B., Salaudeen, M.T. (2022). Modeling Competency Questions-Based Ontology for the Domain of Maize Crop: SIMcOnto. In: Mandal, J.K., Buyya, R., De, D. (eds) Proceedings of International Conference on Advanced Computing Applications. Advances in Intelligent Systems and Computing, vol 1406. Springer, Singapore. https://doi.org/10.1007/978-981-16-5207-3_61",
simc_3,What are the climatic conditions that can affects the numbers of irri_x0002_gation on maize crop?,SIMcOnto (maize crop),N,"Aminu, E.F., Oyefolahan, I.O., Abdullahi, M.B., Salaudeen, M.T. (2022). Modeling Competency Questions-Based Ontology for the Domain of Maize Crop: SIMcOnto. In: Mandal, J.K., Buyya, R., De, D. (eds) Proceedings of International Conference on Advanced Computing Applications. Advances in Intelligent Systems and Computing, vol 1406. Springer, Singapore. https://doi.org/10.1007/978-981-16-5207-3_61",
pizza_2,What is the spiciness of a PeperoniSausageTopping?   ,Pizza,N,"C. Bezerra, F. Freitas and F. Santana, ""Evaluating Ontologies with Competency Questions,"" 2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT), Atlanta, GA, USA, 2013, pp. 284-285, doi: 10.1109/WI-IAT.2013.199.",
pizza_3,Which are the Toppings of a VegetarianPizza?,Pizza,N,"C. Bezerra, F. Freitas and F. Santana, ""Evaluating Ontologies with Competency Questions,"" 2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT), Atlanta, GA, USA, 2013, pp. 284-285, doi: 10.1109/WI-IAT.2013.199.",
pizza_4,Which are the Toppings of the CheeseyPizza? ,Pizza,N,"C. Bezerra, F. Freitas and F. Santana, ""Evaluating Ontologies with Competency Questions,"" 2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT), Atlanta, GA, USA, 2013, pp. 284-285, doi: 10.1109/WI-IAT.2013.199.",
pizza_5,What is the Base of ThinAndCrispyPizza? ,Pizza,N,"C. Bezerra, F. Freitas and F. Santana, ""Evaluating Ontologies with Competency Questions,"" 2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT), Atlanta, GA, USA, 2013, pp. 284-285, doi: 10.1109/WI-IAT.2013.199.",
pizza_6,Are ChickenTopping disjoint of HamTopping?,Pizza,N,"C. Bezerra, F. Freitas and F. Santana, ""Evaluating Ontologies with Competency Questions,"" 2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT), Atlanta, GA, USA, 2013, pp. 284-285, doi: 10.1109/WI-IAT.2013.199.",
pizza_7,What is the countryOfOrigin of MozzarellaTopping?,Pizza,N,"C. Bezerra, F. Freitas and F. Santana, ""Evaluating Ontologies with Competency Questions,"" 2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT), Atlanta, GA, USA, 2013, pp. 284-285, doi: 10.1109/WI-IAT.2013.199.",
pizza_8,Which are the types of CheeseTopping? ,Pizza,N,"C. Bezerra, F. Freitas and F. Santana, ""Evaluating Ontologies with Competency Questions,"" 2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT), Atlanta, GA, USA, 2013, pp. 284-285, doi: 10.1109/WI-IAT.2013.199.",
fire_1,How is the start of the fire detected?,Fire building evacuation,N,,https://easychair.org/publications/preprint_open/CDVm
fire_2,How to transmit alarm to the occupants?,Fire building evacuation,N,,https://easychair.org/publications/preprint_open/CDVm
toct_vcq_1,How many fixed phrasal and lexical segments does [template] have?,ToCT,Y,"Mahlaza, Z., Keet, C.M. ToCT: A task ontology to manage complex templates. FOIS'21 Ontology Showcase, 13-16 September 2021, Bolzano, Italy. Sanfilippo, E.M. et al. (Eds.). CEUR-WS vol. 2969. 9p.",https://github.com/AdeebNqo/ToCT/tree/main/ToCT%20Competency%20Questions
toct_vcq_2,How many words that depend on others does [template] have?,ToCT,Y,"Mahlaza, Z., Keet, C.M. ToCT: A task ontology to manage complex templates. FOIS'21 Ontology Showcase, 13-16 September 2021, Bolzano, Italy. Sanfilippo, E.M. et al. (Eds.). CEUR-WS vol. 2969. 9p.",https://github.com/AdeebNqo/ToCT/tree/main/ToCT%20Competency%20Questions
toct_vcq_3,Which properties may result in a change form between [word1] and [word2] where there exists a dependency?,ToCT,Y,"Mahlaza, Z., Keet, C.M. ToCT: A task ontology to manage complex templates. FOIS'21 Ontology Showcase, 13-16 September 2021, Bolzano, Italy. Sanfilippo, E.M. et al. (Eds.). CEUR-WS vol. 2969. 9p.",https://github.com/AdeebNqo/ToCT/tree/main/ToCT%20Competency%20Questions
toct_vcq_4,"If there is a dependency between [word] and [word], which word is the governor?",ToCT,Y,"Mahlaza, Z., Keet, C.M. ToCT: A task ontology to manage complex templates. FOIS'21 Ontology Showcase, 13-16 September 2021, Bolzano, Italy. Sanfilippo, E.M. et al. (Eds.). CEUR-WS vol. 2969. 9p.",https://github.com/AdeebNqo/ToCT/tree/main/ToCT%20Competency%20Questions
toct_vcq_5,Does [word] have a constant base form?,ToCT,Y,"Mahlaza, Z., Keet, C.M. ToCT: A task ontology to manage complex templates. FOIS'21 Ontology Showcase, 13-16 September 2021, Bolzano, Italy. Sanfilippo, E.M. et al. (Eds.). CEUR-WS vol. 2969. 9p.",https://github.com/AdeebNqo/ToCT/tree/main/ToCT%20Competency%20Questions
toct_vcq_6,Can [word] ever be placed in [slot]?,ToCT,Y,"Mahlaza, Z., Keet, C.M. ToCT: A task ontology to manage complex templates. FOIS'21 Ontology Showcase, 13-16 September 2021, Bolzano, Italy. Sanfilippo, E.M. et al. (Eds.). CEUR-WS vol. 2969. 9p.",https://github.com/AdeebNqo/ToCT/tree/main/ToCT%20Competency%20Questions
toct_vcq_7,Can the word ordering in [template] exist without the template?,ToCT,Y,"Mahlaza, Z., Keet, C.M. ToCT: A task ontology to manage complex templates. FOIS'21 Ontology Showcase, 13-16 September 2021, Bolzano, Italy. Sanfilippo, E.M. et al. (Eds.). CEUR-WS vol. 2969. 9p.",https://github.com/AdeebNqo/ToCT/tree/main/ToCT%20Competency%20Questions
toct_vcq_8,Can the word portion's ordering in [word] exist without the word?,ToCT,Y,"Mahlaza, Z., Keet, C.M. ToCT: A task ontology to manage complex templates. FOIS'21 Ontology Showcase, 13-16 September 2021, Bolzano, Italy. Sanfilippo, E.M. et al. (Eds.). CEUR-WS vol. 2969. 9p.",https://github.com/AdeebNqo/ToCT/tree/main/ToCT%20Competency%20Questions
toct_vcq_9,How many slots does [template] have?,ToCT,Y,"Mahlaza, Z., Keet, C.M. ToCT: A task ontology to manage complex templates. FOIS'21 Ontology Showcase, 13-16 September 2021, Bolzano, Italy. Sanfilippo, E.M. et al. (Eds.). CEUR-WS vol. 2969. 9p.",https://github.com/AdeebNqo/ToCT/tree/main/ToCT%20Competency%20Questions
toct_vcq_10,How many fixed segments have more than one word?,ToCT,N,"Mahlaza, Z., Keet, C.M. ToCT: A task ontology to manage complex templates. FOIS'21 Ontology Showcase, 13-16 September 2021, Bolzano, Italy. Sanfilippo, E.M. et al. (Eds.). CEUR-WS vol. 2969. 9p.",https://github.com/AdeebNqo/ToCT/tree/main/ToCT%20Competency%20Questions
mola_vcq_1,Which languoids are dialects of [language]?,MoLA,Y,"Gillis-Webber, F., Tittel, S., Keet, C.M.. A Model for Language Annotations on the Web. 1st Iberoamerican conference on Knowledge Graphs and Semantic Web (KGSWC'19). Springer CCIS vol. 1029, 1-16. 23-30 June 2019, Villa Clara, Cuba.",https://ontology.londisizwe.org/mola/article/2019-kgswc-supplementary-material
mola_vcq_2,How many languoids does [language family] have?,MoLA,Y,"Gillis-Webber, F., Tittel, S., Keet, C.M.. A Model for Language Annotations on the Web. 1st Iberoamerican conference on Knowledge Graphs and Semantic Web (KGSWC'19). Springer CCIS vol. 1029, 1-16. 23-30 June 2019, Villa Clara, Cuba.",https://ontology.londisizwe.org/mola/article/2019-kgswc-supplementary-material
mola_vcq_3,Is dialect a language?,MoLA,N,"Gillis-Webber, F., Tittel, S., Keet, C.M.. A Model for Language Annotations on the Web. 1st Iberoamerican conference on Knowledge Graphs and Semantic Web (KGSWC'19). Springer CCIS vol. 1029, 1-16. 23-30 June 2019, Villa Clara, Cuba.",https://ontology.londisizwe.org/mola/article/2019-kgswc-supplementary-material
mola_vcq_4,Which types of languages have been classified?,MoLA,N,"Gillis-Webber, F., Tittel, S., Keet, C.M.. A Model for Language Annotations on the Web. 1st Iberoamerican conference on Knowledge Graphs and Semantic Web (KGSWC'19). Springer CCIS vol. 1029, 1-16. 23-30 June 2019, Villa Clara, Cuba.",https://ontology.londisizwe.org/mola/article/2019-kgswc-supplementary-material
mola_vcq_5,Is [languoid/language] divided into different time periods?,MoLA,Y,"Gillis-Webber, F., Tittel, S., Keet, C.M.. A Model for Language Annotations on the Web. 1st Iberoamerican conference on Knowledge Graphs and Semantic Web (KGSWC'19). Springer CCIS vol. 1029, 1-16. 23-30 June 2019, Villa Clara, Cuba.",https://ontology.londisizwe.org/mola/article/2019-kgswc-supplementary-material
mola_vcq_6,Does [language] have a region defined?,MoLA,Y,"Gillis-Webber, F., Tittel, S., Keet, C.M.. A Model for Language Annotations on the Web. 1st Iberoamerican conference on Knowledge Graphs and Semantic Web (KGSWC'19). Springer CCIS vol. 1029, 1-16. 23-30 June 2019, Villa Clara, Cuba.",https://ontology.londisizwe.org/mola/article/2019-kgswc-supplementary-material
mola_vcq_7,Which languages are spoken in [region]?,MoLA,Y,"Gillis-Webber, F., Tittel, S., Keet, C.M.. A Model for Language Annotations on the Web. 1st Iberoamerican conference on Knowledge Graphs and Semantic Web (KGSWC'19). Springer CCIS vol. 1029, 1-16. 23-30 June 2019, Villa Clara, Cuba.",https://ontology.londisizwe.org/mola/article/2019-kgswc-supplementary-material
mola_vcq_8,Is [language] in ISO 639?,MoLA,Y,"Gillis-Webber, F., Tittel, S., Keet, C.M.. A Model for Language Annotations on the Web. 1st Iberoamerican conference on Knowledge Graphs and Semantic Web (KGSWC'19). Springer CCIS vol. 1029, 1-16. 23-30 June 2019, Villa Clara, Cuba.",https://ontology.londisizwe.org/mola/article/2019-kgswc-supplementary-material
coffee_vcq_1,Is there affogato drink in the knowledge base? ,,N,this library,
coffee_vcq_2,Which equipment is required for steeping coffee?,,N,this library,
sno_vcq_1,What processes and events are involved in the network and its elements?,SewerNet,N,SewerNet paper (under review),
